sentence_id;raw;correct;type;correct_indexes
380;В этом образе (3) по мнению критиков (4) нет того сгущения мрачных сатирических красок, благодаря которому внимание читателя сосредоточивается на каком-либо одном качестве героя.;В этом образе, по мнению критиков, нет того сгущения мрачных сатирических красок, благодаря которому внимание читателя сосредоточивается на каком-либо одном качестве героя.;18;['(3)', '(4)']
381;Леонид Леонов (1) являясь классиком русской литературы XX века (2) был неутомимым защитником русского леса (3) названного им (4) «зелёным другом».;Леонид Леонов, являясь классиком русской литературы XX века, был неутомимым защитником русского леса, названного им «зелёным другом».;17;['(1)', '(2)', '(3)']
382;Лецитин является веществом (1) дефицит (2) которого (3) влечёт повышенную утомляемость и ухудшение памяти.;Лецитин является веществом, дефицит которого влечёт повышенную утомляемость и ухудшение памяти.;19;['(1)']
;Лёшка (1) ты помнишь (2) в этот вечер к нам не зашёл. Я думаю, что (3) ты помнишь (4) и предчувствие весны, и ожидание праздника, и незабываемый восторг своего детства.;Лёшка, ты помнишь, в этот вечер к нам не зашёл. Я думаю, что ты помнишь и предчувствие весны, и ожидание праздника, и незабываемый восторг своего детства.;18;['(1)', '(2)']
;Листья на деревьях не шелохнутся, в жаркий летний день они (1) будто (2) сквозят изумрудами, так что видно кружева прожилок. Лишь отдельные листочки вдруг качнутся (3) по-видимому (4) от движения внезапно вспорхнувшей с ветки птицы.;Листья на деревьях не шелохнутся, в жаркий летний день они будто сквозят изумрудами, так что видно кружева прожилок. Лишь отдельные листочки вдруг качнутся, по-видимому, от движения внезапно вспорхнувшей с ветки птицы.;18;['(3)', '(4)']
387;Лучше было (1) когда никто не нарушал новой жизни Стрельцова (2) и (3) если бы кто-нибудь вдруг спросил его (4) как он живёт (5) он растерялся бы и не знал (6) что ответить.;Лучше было, когда никто не нарушал новой жизни Стрельцова, и, если бы кто-нибудь вдруг спросил его, как он живёт, он растерялся бы и не знал, что ответить.;20;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
388;Люди (1) благодаря доброте и отзывчивости (2) которых (3) удалось собрать средства на строительство в посёлке новой школы (4) были приглашены на её торжественное открытие.;Люди, благодаря доброте и отзывчивости которых удалось собрать средства на строительство в посёлке новой школы, были приглашены на её торжественное открытие.;19;['(1)', '(4)']
389;Люся была мягко настойчива (1) и (2) хотя вспомнить всё было трудно (3) постепенно старушка рассказала (4) как было дело.;Люся была мягко настойчива, и, хотя вспомнить всё было трудно, постепенно старушка рассказала, как было дело.;20;['(1)', '(2)', '(3)', '(4)']
390;Маленькая девочка громко смеётся (1) потому (2) что ей весело (3) и (4) шумит на дворе.;Маленькая девочка громко смеётся, потому что ей весело, и шумит на дворе.;20;['(1)', '(3)']
391;Маленькие горные речки (1) превратились теперь в бурные потоки (2) переправа (3) через которые (4) отняла у нас много времени.;Маленькие горные речки превратились теперь в бурные потоки, переправа через которые отняла у нас много времени.;19;['(2)']
;Всё (1) казалось (2) замерло перед надвигающейся бурей. На улицах (3) к счастью (4) не было ни людей, ни машин.;Всё, казалось, замерло перед надвигающейся бурей. На улицах, к счастью, не было ни людей, ни машин.;18;['(1)', '(2)', '(3)', '(4)']
394;Мальчик знал (1) что (2) если он протянет руку в окно (3) то с кустов посыплется роса (4) и покроет всё мелкими каплями.;Мальчик знал, что если он протянет руку в окно, то с кустов посыплется роса и покроет всё мелкими каплями.;20;['(1)', '(3)']
395;Мальчик рос смышлёным и здоровым (1) и (2) когда он стал старше (3) отец разрешил ему делить с рыбаками (4) трудности и опасности морского промысла.;Мальчик рос смышлёным и здоровым, и, когда он стал старше, отец разрешил ему делить с рыбаками трудности и опасности морского промысла.;20;['(1)', '(2)', '(3)']
396;Маргарита (1) к сожалению (2) не смогла приехать на вечер встречи выпускников (3) однако (4) обещала навестить своих учителей сразу после летней сессии.;Маргарита, к сожалению, не смогла приехать на вечер встречи выпускников, однако обещала навестить своих учителей сразу после летней сессии.;18;['(1)', '(2)', '(3)']
397;Маша просидела в углу до самого обеда (1) внимательно глядя на старшую сестру и (2) вслушиваясь в (3) произносимые ею (4) слова.;Маша просидела в углу до самого обеда, внимательно глядя на старшую сестру и вслушиваясь в произносимые ею слова.;17;['(1)']
398;Медведь так полюбил Никиту (1) что (2) когда он уходил куда-нибудь (3) то зверь тревожно нюхал воздух.;Медведь так полюбил Никиту, что когда он уходил куда-нибудь, то зверь тревожно нюхал воздух.;19;['(1)', '(3)']
;Медведь-камень на реке Тагил представляет собой (1) без сомнения (2) одну из самых высоких скал Среднего Урала. Здесь (3) по преданию (4) зимовал со своим войском Ермак.;Медведь-камень на реке Тагил представляет собой, без сомнения, одну из самых высоких скал Среднего Урала. Здесь, по преданию, зимовал со своим войском Ермак.;18;['(1)', '(2)', '(3)', '(4)']
401;Мелкие насекомые (1) расход кислорода у которых (2) невелик (3) могут очень долго не пополнять запас воздуха.;Мелкие насекомые, расход кислорода у которых невелик, могут очень долго не пополнять запас воздуха.;19;['(1)', '(3)']
;Московскому Художественному театру суждено было сыграть (1) поистине (2) историческую роль в судьбе отечественной культуры. Именно в этом театре плодотворно работал гениальный режиссёр К. С. Станиславский  — создатель (3) по признанию критиков (4) одной из самых авторитетных во всём мире театральных систем.;Московскому Художественному театру суждено было сыграть поистине историческую роль в судьбе отечественной культуры. Именно в этом театре плодотворно работал гениальный режиссёр К. С. Станиславский — создатель, по признанию критиков, одной из самых авторитетных во всём мире театральных систем.;18;['(3)', '(4)']
404;Всё (1) что было до войны (2) казалось (3) мне теперь освещённым ясным и мягким светом того самого незакатно-солнечного дня (4) когда мы с отцом зашли в табачный магазин.;Всё, что было до войны, казалось мне теперь освещённым ясным и мягким светом того самого незакатно-солнечного дня, когда мы с отцом зашли в табачный магазин.;19;['(1)', '(2)', '(4)']
405;То (1) что ты написал (2) уже слишком серьёзно (3) чтобы я мог судить (4) хорошо ли это (5) или плохо.;То, что ты написал, уже слишком серьёзно, чтобы я мог судить, хорошо ли это или плохо.;19;['(1)', '(2)', '(3)', '(4)']
406;Митя часто просто любовался сестрой (1) и (2) даже когда ему приходилось выслушивать её жалобы на то (3) что она плохо выглядит после ночных дежурств в больнице (4) Любаша казалась ему самой красивой.;Митя часто просто любовался сестрой, и, даже когда ему приходилось выслушивать её жалобы на то, что она плохо выглядит после ночных дежурств в больнице, Любаша казалась ему самой красивой.;20;['(1)', '(2)', '(3)', '(4)']
407;Потом она наконец услышала (1) как поёт ранним утром пастушеский рожок (2) и (3) как в ответ ему сотнями голосов, чуть вздрогнув, откликается, как эхо, струнный оркестр.;Потом она наконец услышала, как поёт ранним утром пастушеский рожок и как в ответ ему сотнями голосов, чуть вздрогнув, откликается, как эхо, струнный оркестр.;19;['(1)']
408;Когда Катя смотрела на особенно большую сегодня луну (1) свет (2) которой (3) несмотря на то что он был непривычно оранжевым (4) оставался по-лунному, по-космически холодным (5) она невольно задумывалась о том (6) насколько же тепло здесь, на Земле (7) где всё очень непросто, но при этом так знакомо и близко.;Когда Катя смотрела на особенно большую сегодня луну, свет которой, несмотря на то что он был непривычно оранжевым, оставался по-лунному, по-космически холодным, она невольно задумывалась о том, насколько же тепло здесь, на Земле, где всё очень непросто, но при этом так знакомо и близко.;19;['(1)', '(3)', '(4)', '(5)', '(6)', '(7)']
409;В дни (1) когда он бывал болен (2) вахту несли другие егеря (3) в числе (4) которых (5) был и его сын Марат, но всё же опытнейшим работником считался Иван Трофимович (6) которому и доверяли самые ответственные дела, иногда даже придерживая в запасных (7) если охотиться приезжал какой-нибудь незначительный гость.;В дни, когда он бывал болен, вахту несли другие егеря, в числе которых был и его сын Марат, но всё же опытнейшим работником считался Иван Трофимович, которому и доверяли самые ответственные дела, иногда даже придерживая в запасных, если охотиться приезжал какой-нибудь незначительный гость.;19;['(1)', '(2)', '(3)', '(6)', '(7)']
410;По заболоченному дну распадка змеился ручей (1) напиться (2) из которого (3) можно было (4) если пробраться сквозь колючие заросли шиповника (5) что облюбован здесь многочисленными паучками (6) и раздвинуть лапы лиственниц.;По заболоченному дну распадка змеился ручей, напиться из которого можно было, если пробраться сквозь колючие заросли шиповника, что облюбован здесь многочисленными паучками, и раздвинуть лапы лиственниц.;19;['(1)', '(4)', '(5)', '(6)']
411;Миша был таким маленьким (1) что (2) когда они заходили с папой в карьер (3) который располагался справа от храма (4) то едва доставал отцу до пояса (5) и (6) поскольку песчаное дно обрывалось у самого берега (7) мама боялась (8) что мальчик оступится (9) и наглотается воды.;Миша был таким маленьким, что когда они заходили с папой в карьер, который располагался справа от храма, то едва доставал отцу до пояса, и, поскольку песчаное дно обрывалось у самого берега, мама боялась, что мальчик оступится и наглотается воды.;20;['(1)', '(3)', '(4)', '(5)', '(6)', '(7)', '(8)']
412;Мне кажется (1) что по смеху можно узнать человека (2) и что (3) если вам с первой встречи приятен смех кого-нибудь из совершенно незнакомых вам людей (4) то можно смело говорить (5) что этот человек хороший.;Мне кажется, что по смеху можно узнать человека и что если вам с первой встречи приятен смех кого-нибудь из совершенно незнакомых вам людей, то можно смело говорить, что этот человек хороший.;20;['(1)', '(4)', '(5)']
413;Когда минут через десять, не сразу отыскав машину и показав шофёру (1)  как подъехать к землянке (2) я вернулся (3) мальчишка совсем преобразился.;Когда минут через десять, не сразу отыскав машину и показав шофёру, как подъехать к землянке, я вернулся, мальчишка совсем преобразился.;19;['(1)', '(2)', '(3)']
414;Мне казалось (1) что (2) если я буду идти всё время прямо (3) то непременно встречусь с Ярмолой на Ильинской дороге (4) которая пролегала за лесом.;Мне казалось, что если я буду идти всё время прямо, то непременно встречусь с Ярмолой на Ильинской дороге, которая пролегала за лесом.;20;['(1)', '(3)', '(4)']
415;Мне очень хотелось увидеться с бывшими одноклассниками (1) и (2) когда наша встреча состоялась (3) я спросил их (4) скучают ли они по школе.;Мне очень хотелось увидеться с бывшими одноклассниками, и, когда наша встреча состоялась, я спросил их, скучают ли они по школе.;20;['(1)', '(2)', '(3)', '(4)']
416;Я знал (1) что это чувство (2) которое появилось совсем недавно (3) являлось результатом очень сложной душевной комбинации (4) составные нити (5) которой (6) хотя (7) их нельзя было увидеть (8) проходили через целую жизнь.;Я знал, что это чувство, которое появилось совсем недавно, являлось результатом очень сложной душевной комбинации, составные нити которой, хотя их нельзя было увидеть, проходили через целую жизнь.;19;['(1)', '(2)', '(3)', '(4)', '(6)', '(8)']
417;В тот день она повела меня завтракать в китайский ресторан (1) где мы засиделись часов до четырёх (2) а в пятницу же она повезла меня за город, к себе на ферму (3) где жила (4) и показала мне фотографии (5) среди (6) которых (7) я узнала и те (8) что видела когда-то.;В тот день она повела меня завтракать в китайский ресторан, где мы засиделись часов до четырёх, а в пятницу же она повезла меня за город, к себе на ферму, где жила, и показала мне фотографии, среди которых я узнала и те, что видела когда-то.;19;['(1)', '(2)', '(3)', '(4)', '(5)', '(8)']
418;Так уж случилось (1) что соседка снизу вышла из подъезда именно в тот момент (2) когда Оля, испуганная сообщением о том (3) что в её квартире прорвало трубу (4) вылезала из машины (5) так что ворох претензий обрушился на Олю ещё до того (6) как она смогла своими глазами оценить масштаб бедствия.;Так уж случилось, что соседка снизу вышла из подъезда именно в тот момент, когда Оля, испуганная сообщением о том, что в её квартире прорвало трубу, вылезала из машины, так что ворох претензий обрушился на Олю ещё до того, как она смогла своими глазами оценить масштаб бедствия.;19;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
419;Павел Алексеевич укорял себя (1) что не может пересилить Василисиного упрямства (2) и уговорить её на лечение (3) поскольку был уверен (4) что у неё банальная катаракта (5) которую можно прооперировать (6) и (7) что восстановление зрения ей гарантировано.;Павел Алексеевич укорял себя, что не может пересилить Василисиного упрямства и уговорить её на лечение, поскольку был уверен, что у неё банальная катаракта, которую можно прооперировать, и что восстановление зрения ей гарантировано.;19;['(1)', '(3)', '(4)', '(5)', '(6)']
420;Мне показалось (1) что (2) если описать всё словами так (3) чтобы вышла книжка (4) и (5) чтобы там было меньше психологии и больше событий (6) то я наконец перестану слишком много думать обо всём этом.;Мне показалось, что если описать всё словами так, чтобы вышла книжка и чтобы там было меньше психологии и больше событий, то я наконец перестану слишком много думать обо всём этом.;20;['(1)', '(3)', '(6)']
421;Мне пришли в голову кое-какие новые идеи (1) и (2) если ты приедешь (3) я охотно расскажу о том (4) что меня теперь волнует.;Мне пришли в голову кое-какие новые идеи, и, если ты приедешь, я охотно расскажу о том, что меня теперь волнует.;20;['(1)', '(2)', '(3)', '(4)']
422;Многие ошибочно думают (1) что (2) если человек умеет хоть немного плавать (3) то ему нечего бояться (4) и любые глубины ему нипочём.;Многие ошибочно думают, что если человек умеет хоть немного плавать, то ему нечего бояться и любые глубины ему нипочём.;20;['(1)', '(3)']
423;Могучая дальневосточная тайга (1) удивительной красотой (2) которой (3) мы любовались (4) представляла безбрежный зеленый океан.;Могучая дальневосточная тайга, удивительной красотой которой мы любовались, представляла безбрежный зеленый океан.;19;['(1)', '(4)']
424;Она играет, заставляя сердца слушателей дрожать (1) потому что в каждом сердце есть струна (2) которая (3) обязательно отзовётся даже на слабый призыв прекрасного.;Она играет, заставляя сердца слушателей дрожать, потому что в каждом сердце есть струна, которая обязательно отзовётся даже на слабый призыв прекрасного.;19;['(1)', '(2)']
425;Даже когда он стал взрослым (1) то, будучи в самых сложных переделках, он, вспоминая дом, думал не только о родных (2) которые (3) населяли его (4) но и о «людях с картин» (5) которых никогда не знал.;Даже когда он стал взрослым, то, будучи в самых сложных переделках, он, вспоминая дом, думал не только о родных, которые населяли его, но и о «людях с картин», которых никогда не знал.;19;['(1)', '(2)', '(4)', '(5)']
426;Санька хотел им сказать (1) что он возьмёт в доме еды (2) и хлеба достанет (3) где-нибудь на все те деньги (4) что он разорвал.;Санька хотел им сказать, что он возьмёт в доме еды и хлеба достанет где-нибудь на все те деньги, что он разорвал.;19;['(1)', '(4)']
427;Больше всего на свете мне хотелось спать (1) потому что я чувствовал (2) что (3) если я достаточно быстро засну (4) то проснусь опять самим собой.;Больше всего на свете мне хотелось спать, потому что я чувствовал, что если я достаточно быстро засну, то проснусь опять самим собой.;19;['(1)', '(2)', '(4)']
428;Я хорошо помнил (1) что отец (2) когда мы с братьями были маленькими (3) часто устраивал дни поиска клада (4) так что, оказавшись в доме моего детства, я пошёл искать наши карты местности (5) на обратной стороне (6) которых (7) мы вместе составляли списки потенциальных сокровищ.;Я хорошо помнил, что отец, когда мы с братьями были маленькими, часто устраивал дни поиска клада, так что, оказавшись в доме моего детства, я пошёл искать наши карты местности, на обратной стороне которых мы вместе составляли списки потенциальных сокровищ.;19;['(1)', '(2)', '(3)', '(4)', '(5)']
429;Когда Женя вышел на улицу (1) было уже темно (2) хотя часы на городской башне (3) которая возвышалась посреди центральной площади неподалёку от типографии (4) где работал молодой человек (5) только пробили пять.;Когда Женя вышел на улицу, было уже темно, хотя часы на городской башне, которая возвышалась посреди центральной площади неподалёку от типографии, где работал молодой человек, только пробили пять.;19;['(1)', '(2)', '(3)', '(4)', '(5)']
430;Только когда он вышел на центральную площадь (1) на всей территории (2) которой (3) было множество уютных кафе и небольших магазинчиков (4) когда услышал до боли знакомые звуки музыки (5) он понял (6) что действительно вернулся домой (7) куда так просилась его душа.;Только когда он вышел на центральную площадь, на всей территории которой было множество уютных кафе и небольших магазинчиков, когда услышал до боли знакомые звуки музыки, он понял, что действительно вернулся домой, куда так просилась его душа.;19;['(1)', '(4)', '(5)', '(6)', '(7)']
431;Когда Волько мимоходом как-то спросил (1) что это за секреты такие (2) которые (3) позволяют отличить подлинник от подделки (4) Курмышов сначала отвечал коротко и уклончиво, но, видя (5) какими горящими любопытством глазами смотрит на него звезда шоу-бизнеса (6) не совладал с тщеславием и начал рассказывать и даже показывать фотографии.;Когда Волько мимоходом как-то спросил, что это за секреты такие, которые позволяют отличить подлинник от подделки, Курмышов сначала отвечал коротко и уклончиво, но, видя, какими горящими любопытством глазами смотрит на него звезда шоу-бизнеса, не совладал с тщеславием и начал рассказывать и даже показывать фотографии.;19;['(1)', '(2)', '(4)', '(5)', '(6)']
432;Моё беспокойство усилилось (1) когда я увидел (2) что провожатый (3) вместо того чтобы направиться к выходу из казармы (4) начал спускаться по узкой лестнице (5) которая огибала залы просторного здания.;Моё беспокойство усилилось, когда я увидел, что провожатый, вместо того чтобы направиться к выходу из казармы, начал спускаться по узкой лестнице, которая огибала залы просторного здания.;19;['(1)', '(2)', '(3)', '(4)', '(5)']
433;Может так случиться (1) что (2) пока остальные ребята будут готовить свои костюмы к выступлению (3) нам придётся заниматься совсем другими делами (4) чтобы успеть к премьере.;Может так случиться, что, пока остальные ребята будут готовить свои костюмы к выступлению, нам придётся заниматься совсем другими делами, чтобы успеть к премьере.;20;['(1)', '(2)', '(3)', '(4)']
;Мой брат (1) кажется (2) начинал понимать всю важность предстоящих событий. Иногда наш класс (3) кажется (4) мне большой дружной семьёй.;Мой брат, кажется, начинал понимать всю важность предстоящих событий. Иногда наш класс кажется мне большой дружной семьёй.;18;['(1)', '(2)']
436;А чтобы дело быстрей шло (1) работать решили изо всех сил (2) и (3) раз народу много (4) часто меняться.;А чтобы дело быстрей шло, работать решили изо всех сил и, раз народу много, часто меняться.;19;['(1)', '(3)', '(4)']
437;Как только она, перестав играть, встала (1) я, краснея, подошёл к пианино (2) и одним духом выпалил всё (3) что знал.;Как только она, перестав играть, встала, я, краснея, подошёл к пианино и одним духом выпалил всё, что знал.;19;['(1)', '(3)']
438;А глупая кряква, облетев порядочный круг и убедившись (1) что лисица ушла (2) опустилась на своё гнездо, проверила (3) все ли одиннадцать бледно-зелёных яиц налицо (4) и, опустив нос, полузадремала.;А глупая кряква, облетев порядочный круг и убедившись, что лисица ушла, опустилась на своё гнездо, проверила, все ли одиннадцать бледно-зелёных яиц налицо, и, опустив нос, полузадремала.;19;['(1)', '(2)', '(3)', '(4)']
439;Склоны этой горы (1) на вершине (2) которой (3) двумя широкими скобами уселся дом (4) и той горы (5) что напротив нас (6) не были засажены никакими деревьями.;Склоны этой горы, на вершине которой двумя широкими скобами уселся дом, и той горы, что напротив нас, не были засажены никакими деревьями.;19;['(1)', '(4)', '(5)', '(6)']
440;Сколько лет ни проходило бы между нашими встречами с Володькой (1) он оставался всё тем же улыбчивым толстячком (2) оптимизма и добродушия (3) у которого (4) с годами (5) несмотря на то что на его долю выпало немало трудностей (6) становилось только больше.;Сколько лет ни проходило бы между нашими встречами с Володькой, он оставался всё тем же улыбчивым толстячком, оптимизма и добродушия у которого с годами, несмотря на то что на его долю выпало немало трудностей, становилось только больше.;19;['(1)', '(2)', '(5)', '(6)']
441;Так начался изнурительный кошмар этих двух недель (1) в продолжение (2) которых (3) он пытался заставить себя решиться на проверку (4) что ему давалось с огромным трудом (5) и одновременно уговорить докторов (6) что здоров и ни в какой проверке не нуждается.;Так начался изнурительный кошмар этих двух недель, в продолжение которых он пытался заставить себя решиться на проверку, что ему давалось с огромным трудом, и одновременно уговорить докторов, что здоров и ни в какой проверке не нуждается.;19;['(1)', '(4)', '(5)', '(6)']
442;Хотя предъявлять договор он не обязан (1) бывают ситуации (2) когда это лучше сделать (3) чтобы не портить отношения с людьми (4) расположение (5) которых (6) впоследствии ещё может пригодиться.;Хотя предъявлять договор он не обязан, бывают ситуации, когда это лучше сделать, чтобы не портить отношения с людьми, расположение которых впоследствии ещё может пригодиться.;19;['(1)', '(2)', '(3)', '(4)']
443;Мы (1) несмотря на то что было уже темно и прохладно (2) вышли к озеру (3) на пустынном берегу (4) которого (5) горел лишь одинокий костерок (6) и долго стояли там — каждый в своих мыслях.;Мы, несмотря на то что было уже темно и прохладно, вышли к озеру, на пустынном берегу которого горел лишь одинокий костерок, и долго стояли там — каждый в своих мыслях.;19;['(1)', '(2)', '(3)', '(6)']
444;Макар Геннадьевич (1) на помощь (2) которого (3) Ксения очень рассчитывала (4) внимательно выслушал её и сказал (5) что ему нужно всё как следует обдумать (6) поскольку дело очень непростое.;Макар Геннадьевич, на помощь которого Ксения очень рассчитывала, внимательно выслушал её и сказал, что ему нужно всё как следует обдумать, поскольку дело очень непростое.;19;['(1)', '(4)', '(5)', '(6)']
445;А те (1) кто работал (2) тщательно соблюдали сиесту — двухчасовой перерыв (3) по окончании (4) которого (5) они возвращались на рабочее место разве что для того (6) чтобы передохну́ть после тяжкого обеда.;А те, кто работал, тщательно соблюдали сиесту — двухчасовой перерыв, по окончании которого они возвращались на рабочее место разве что для того, чтобы передохну́ть после тяжкого обеда.;19;['(1)', '(2)', '(3)', '(6)']
446;Пока я слушал долгий рассказ старика (1) уже стемнело (2) так что я попрощался и пошёл в свою комнату на втором этаже (3) из окна (4) которой (5) можно было выйти на крышу (6) чтобы в тишине любоваться звёздами.;Пока я слушал долгий рассказ старика, уже стемнело, так что я попрощался и пошёл в свою комнату на втором этаже, из окна которой можно было выйти на крышу, чтобы в тишине любоваться звёздами.;19;['(1)', '(2)', '(3)', '(6)']
447;Несмотря на то что лето выдалось холодное и дождливое (1) дедушка с бабушкой (2) которые (3) с весны до поздней осени жили на даче (4) смогли вырастить богатый урожай самых разных овощей (5) так что заготовок на зиму получилось много.;Несмотря на то что лето выдалось холодное и дождливое, дедушка с бабушкой, которые с весны до поздней осени жили на даче, смогли вырастить богатый урожай самых разных овощей, так что заготовок на зиму получилось много.;19;['(1)', '(2)', '(4)', '(5)']
448;И пока Качушин хохотал (1) участковый стоял над ним и терпеливо ждал (2) когда следователь прохохочется (3) так как Анискин понимал (4) что Качушин не может вести себя по-другому.;И пока Качушин хохотал, участковый стоял над ним и терпеливо ждал, когда следователь прохохочется, так как Анискин понимал, что Качушин не может вести себя по-другому.;19;['(1)', '(2)', '(3)', '(4)']
449;Когда я пришёл сюда, в физический институт, в лабораторию (1) которая (2) занимается связью с биологией (3) оказалось (4) что я уникум (5) потому что благодаря своему прошлому умею ковать железо и заворачивать гайки.;Когда я пришёл сюда, в физический институт, в лабораторию, которая занимается связью с биологией, оказалось, что я уникум, потому что благодаря своему прошлому умею ковать железо и заворачивать гайки.;19;['(1)', '(3)', '(4)', '(5)']
450;Чтобы не подводить человека (1) в честности (2) которого (3) я был убеждён (4) я не составил тогда акта о проверке склада, а сказал Чубинскому (5) что даю ему время для приведения в порядок отчётности по продовольственной кампании (6) после чего (7) поручу произвести новую проверку.;Чтобы не подводить человека, в честности которого я был убеждён, я не составил тогда акта о проверке склада, а сказал Чубинскому, что даю ему время для приведения в порядок отчётности по продовольственной кампании, после чего поручу произвести новую проверку.;19;['(1)', '(4)', '(5)', '(6)']
451;Когда он бежал вверх по лестнице (1) и еле переводил дыхание (2) его вдруг пронзила мысль (3) что никогда он не будет больше так любить (4) и этот туман счастья (5) который окутал его с головы до ног (6) быстро рассеется.;Когда он бежал вверх по лестнице и еле переводил дыхание, его вдруг пронзила мысль, что никогда он не будет больше так любить и этот туман счастья, который окутал его с головы до ног, быстро рассеется.;19;['(2)', '(3)', '(5)', '(6)']
452;Белый дом на окраине (1) одна из стен (2) которого (3) была выкрашена в голубой цвет (4) всегда привлекал моё внимание: и сам дом, и палисадник около дома выглядели очень ухоженными (5) хотя я никогда не видел (6) чтобы кто-то там работал.;Белый дом на окраине, одна из стен которого была выкрашена в голубой цвет, всегда привлекал моё внимание: и сам дом, и палисадник около дома выглядели очень ухоженными, хотя я никогда не видел, чтобы кто-то там работал.;19;['(1)', '(4)', '(5)', '(6)']
