original;corrected
Каким-то загадочным образом творчество Чехова (1) по словам К. Чуковского (2) было для современников писателя моральной проповедью, и этой проповеди они подчинялись так охотно и радостно, как не подчинялись бы (3) пожалуй (4) самым громким нравоучительным лозунгам.;Каким-то загадочным образом творчество Чехова NUM по словам К. Чуковского NUM было для современников писателя моральной проповедью, и этой проповеди они подчинялись так охотно и радостно, как не подчинялись бы NUM пожалуй NUM самым громким поучительным лозунгам.
Каким-то загадочным образом творчество Чехова (1) по словам К. Чуковского (2) было для современников писателя моральной проповедью, и этой проповеди они подчинялись так охотно и радостно, как не подчинялись бы (3) пожалуй (4) самым громким нравоучительным лозунгам.;Каким-то загадочным образом творчество Чехова NUM по словам К. Чуковского NUM было для современников писателя моральной проповедью, и этой проповеди они подчинялись так охотно и радостно, как не подчинялись бы NUM пожалуй NUM самым громким нравоучительным плакатам.
Какое (1) однако (2) разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии (3) например (4) прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-синего.;Какое NUM однако NUM разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии NUM например NUM прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-бордового.
Какое (1) однако (2) разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии (3) например (4) прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-синего.;Какое NUM однако NUM разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии NUM например NUM прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до серо-синего.
Какое (1) однако (2) разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии (3) например (4) прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-синего.;Какое NUM однако NUM разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии NUM например NUM прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до синего.
Какое (1) однако (2) разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии (3) например (4) прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-синего.;Какое NUM однако NUM разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии NUM например NUM прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до темно-зелёного.
Какое (1) однако (2) разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии (3) например (4) прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до тёмно-синего.;Какое NUM однако NUM разнообразие форм, цветов, размеров у живых богатств Чёрного моря! У скумбрии NUM например NUM прямое и гладкое, как веретено, тело, и окрашено оно нежнейшими тонами: от светло-голубого до светло-зелёного.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в японском пруду.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в японском садике.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в тайваньском саду.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в японском парке.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в вьетнамском саду.
Каменные дорожки (1) извилистые линии (2) которых (3) символизируют поток энергии (4) приобретают особое значение в японском саду.;Каменные дорожки NUM извилистые линии NUM которых NUM символизируют поток энергии NUM приобретают особое значение в японском огороде.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать многочасовые осады неприятеля.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать многомесячные осады турка.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать многомесячные осады мятежника.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать трёхмесячные осады неприятеля.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать многомесячные осады противника.
Каменные замки (1) за высокими стенами (2) которых (3) укрывались рыцари-феодалы и их дружины (4) позволяли защитникам выдерживать многомесячные осады неприятеля.;Каменные замки NUM за высокими стенами NUM которых NUM укрывались рыцари-феодалы и их дружины NUM позволяли защитникам выдерживать многомесячные битвы неприятеля.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную особу NUM он продолжал бы свои суждения.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную особу NUM он продолжал бы свои изложения.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную особу NUM он продолжал бы свои объяснения.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать настолько юную особу NUM он продолжал бы свои рассуждения.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную особу NUM он продолжал бы свои толкования.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную особу NUM он продолжал бы свои умозаключения.
Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно (1) и (2) если бы Константинов не осознавал (3) что сфера его научных интересов не может по-настоящему волновать столь юную особу (4) он продолжал бы свои рассуждения.;Катя слушала рассказ о новейших достижениях в области ядерной физики очень внимательно NUM и NUM если бы Константинов не осознавал NUM что сфера его научных интересов не может по-настоящему волновать столь юную девицу NUM он продолжал бы свои рассуждения.
Это покажется (1) вероятно (2) странным, но к Галине Улановой  — одной из величайших танцовщиц за всю историю хореографического искусства  — слово «балерина» не очень подходит. Уланова в танце  — поэт, и (3) по мнению ценителей балета (4) у неё свой поэтический стиль и свой мир.;Это покажется NUM вероятно NUM странным, но к Галине Улановой — одной из величайших танцовщиц за всю историю хореографического искусства — слово «балерина» не очень подходит. Уланова в танце — поэт, и NUM по мнению ценителей балета NUM у неё свой поэтический манер и свой мир.
Это покажется (1) вероятно (2) странным, но к Галине Улановой  — одной из величайших танцовщиц за всю историю хореографического искусства  — слово «балерина» не очень подходит. Уланова в танце  — поэт, и (3) по мнению ценителей балета (4) у неё свой поэтический стиль и свой мир.;Это покажется NUM вероятно NUM странным, но к Галине Улановой — одной из величайших танцовщиц за всю историю хореографического искусства — слово «балерина» не очень подходит. Уланова в танце — поэт, и NUM по мнению ценителей балета NUM у неё свой поэтический стиль и свой континент.
Это покажется (1) вероятно (2) странным, но к Галине Улановой  — одной из величайших танцовщиц за всю историю хореографического искусства  — слово «балерина» не очень подходит. Уланова в танце  — поэт, и (3) по мнению ценителей балета (4) у неё свой поэтический стиль и свой мир.;Это покажется NUM вероятно NUM странным, но к Галине Улановой — одной из величайших танцовщиц за всю историю хореографического искусства — слово «балерина» не очень подходит. Уланова в танце — поэт, и NUM по мнению ценителей балета NUM у неё свой поэтический минимализм и свой мир.
Это покажется (1) вероятно (2) странным, но к Галине Улановой  — одной из величайших танцовщиц за всю историю хореографического искусства  — слово «балерина» не очень подходит. Уланова в танце  — поэт, и (3) по мнению ценителей балета (4) у неё свой поэтический стиль и свой мир.;Это покажется NUM вероятно NUM странным, но к Галине Улановой — одной из величайших танцовщиц за всю историю хореографического искусства — слово «балерина» не очень подходит. Уланова в танце — поэт, и NUM по мнению ценителей балета NUM у неё свой литературный стиль и свой мир.
Это покажется (1) вероятно (2) странным, но к Галине Улановой  — одной из величайших танцовщиц за всю историю хореографического искусства  — слово «балерина» не очень подходит. Уланова в танце  — поэт, и (3) по мнению ценителей балета (4) у неё свой поэтический стиль и свой мир.;Это покажется NUM вероятно NUM странным, но к Галине Улановой — одной из величайших танцовщиц за всю историю хореографического искусства — слово «балерина» не очень подходит. Уланова в танце — поэт, и NUM по мнению ценителей балета NUM у неё свой поэтический жанр и свой мир.
По мнению специалистов (1) иноязычные слова, попадая в наш язык, постепенно ассимилируются: например (2) они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая (3) постепенно (4) черты своего нерусского происхождения.;По мнению специалистов NUM иноязычные слова, попадая в наш язык, постепенно ассимилируются: например NUM они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая NUM постепенно NUM черты своего нерусского родства.
По мнению специалистов (1) иноязычные слова, попадая в наш язык, постепенно ассимилируются: например (2) они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая (3) постепенно (4) черты своего нерусского происхождения.;По мнению специалистов NUM иноязычные слова, попадая в наш язык, постепенно ассимилируются: например NUM они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая NUM постепенно NUM черты своего татарского происхождения.
По мнению специалистов (1) иноязычные слова, попадая в наш язык, постепенно ассимилируются: например (2) они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая (3) постепенно (4) черты своего нерусского происхождения.;По мнению специалистов NUM иноязычные слова, попадая в наш язык, постепенно ассимилируются: например NUM они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая NUM постепенно NUM черты своего старожильческого происхождения.
По мнению специалистов (1) иноязычные слова, попадая в наш язык, постепенно ассимилируются: например (2) они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая (3) постепенно (4) черты своего нерусского происхождения.;По мнению специалистов NUM иноязычные слова, попадая в наш язык, постепенно ассимилируются: например NUM они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая NUM постепенно NUM черты своего неславянского происхождения.
По мнению специалистов (1) иноязычные слова, попадая в наш язык, постепенно ассимилируются: например (2) они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая (3) постепенно (4) черты своего нерусского происхождения.;По мнению специалистов NUM иноязычные слова, попадая в наш язык, постепенно ассимилируются: например NUM они приспосабливаются к звуковой системе русского языка, подчиняются правилам русского словообразования и словоизменения, утрачивая NUM постепенно NUM черты своего инородческого происхождения.
Не было бы Пушкина  — не определилась бы (1) быть может (2) с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а (3) затем (4) и вера в грядущее самостоятельное назначение в семье европейских народов.;Не было бы Пушкина — не определилась бы NUM быть может NUM с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а NUM затем NUM и вера в грядущее самостоятельное назначение в семье европейских этносов.
Не было бы Пушкина  — не определилась бы (1) быть может (2) с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а (3) затем (4) и вера в грядущее самостоятельное назначение в семье европейских народов.;Не было бы Пушкина — не определилась бы NUM быть может NUM с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а NUM затем NUM и вера в грядущее самостоятельное назначение в семье общеевропейских народов.
Не было бы Пушкина  — не определилась бы (1) быть может (2) с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а (3) затем (4) и вера в грядущее самостоятельное назначение в семье европейских народов.;Не было бы Пушкина — не определилась бы NUM быть может NUM с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а NUM затем NUM и вера в грядущее самостоятельное назначение в семье азиатских народов.
Не было бы Пушкина  — не определилась бы (1) быть может (2) с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а (3) затем (4) и вера в грядущее самостоятельное назначение в семье европейских народов.;Не было бы Пушкина — не определилась бы NUM быть может NUM с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а NUM затем NUM и вера в грядущее самостоятельное назначение в семье неевропейских народов.
Не было бы Пушкина  — не определилась бы (1) быть может (2) с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а (3) затем (4) и вера в грядущее самостоятельное назначение в семье европейских народов.;Не было бы Пушкина — не определилась бы NUM быть может NUM с такою непоколебимою силой наша вера в русскую самостоятельность, наша сознательная уже теперь надежда на народные силы, а NUM затем NUM и вера в грядущее самостоятельное назначение в семье западноевропейских народов.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась наперерез.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась следом.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась напролом.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась гуськом.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась вдогонку.
Кира (1) когда получила от подруги СМС о том (2) что та уже села в такси (3) выбежала из подъезда (4) и (5) как только неподалёку от ворот остановился жёлтый автомобиль (6) и (7) из него вышла знакомая фигура (8) бросилась навстречу.;Кира NUM когда получила от подруги СМС о том NUM что та уже села в такси NUM выбежала из подъезда NUM и NUM как только неподалёку от ворот остановился жёлтый автомобиль NUM и NUM из него вышла знакомая фигура NUM бросилась вперевалку.
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «сумская битва».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «харьковская битва».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская баталия».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «днепропетровская битва».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская осада».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «черниговская битва».
А.  С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов (1) как правило (2) старался применить на практике. Так (3) например (4) он, занимаясь изготовлением разноцветного стекла, создал мозаику «Полтавская битва».;А. С. Пушкин назвал М. В. Ломоносова «первым нашим университетом». Все свои научные достижения М. В. Ломоносов NUM как правило NUM старался применить на практике. Так NUM например NUM он, занимаясь изготовлением разноцветного стекла, создал мозаику «запорожская битва».
